 flame name      : DLR H2/CH4/N2-Jet Diffusion Flame [V1]
 institute       : Energie- und Kraftwerkstechnik, TU Darmstadt, Germany
 data            : 2d-LDA measurements
 fuel  mixture   : 33% H2, 22.1% CH4, 44.9% N2
 diameter        : d_nozzle = 0.008 m
 bulk velocity   : U_fuel = 42.15 m/s
 Reynolds number : Re = 15200
 data rows       : 21
 data columns    : 5
 location        : x/d_nozzle = 1/8
 
     r[m]        <U>[m/s]      <u">[m/s]     <V>[m/s]     <u"v">[m2/s2]
    0.0000       51.3500        2.4271        0.3063       -0.9264
    0.0003       51.5537        2.5904        0.3310        0.9904
    0.0005       51.1199        2.6052        0.2284        0.7745
    0.0008       50.7026        2.7016        0.2807        0.7238
    0.0010       50.2622        2.9098        0.3242        2.5900
    0.0013       49.8528        3.2504        0.2703        3.2164
    0.0015       49.1442        3.4229        0.2676        2.9736
    0.0018       48.3404        3.6807        0.2456        3.7594
    0.0020       47.4366        3.7990        0.2525        4.2001
    0.0022       46.1662        4.0460        0.1636        4.9178
    0.0025       44.9207        4.1902        0.2234        4.8890
    0.0027       43.1457        4.5092        0.0299        5.3801
    0.0030       41.5304        4.6757        0.0201        5.1691
    0.0032       39.2590        4.8087       -0.0004        5.5684
    0.0035       36.2186        5.1897       -0.0851        5.6541
    0.0037       31.1781        6.2540       -0.0154        5.8344
    0.0040       15.5284        5.9890        0.2606        2.1353
    0.0043        1.8618        0.5309       -1.2781        0.0585
    0.0045        0.6689        0.2316       -1.8449       -0.0291
    0.0050        0.5267        0.2335       -1.0840        0.0122
    0.0060        0.3520        0.0847       -0.1164        0.0057
