 flame name      : DLR H2/CH4/N2-Jet Diffusion Flame [V1]
 institute       : Energie- und Kraftwerkstechnik, TU Darmstadt, Germany
 data            : 2d-LDA measurements
 fuel  mixture   : 33% H2, 22.1% CH4, 44.9% N2
 diameter        : d_nozzle = 0.008 m
 bulk velocity   : U_fuel = 42.15 m/s
 Reynolds number : Re = 15200
 data rows       : 23
 data columns    : 5
 location        : x/d_nozzle = 40
 
     r[m]        <U>[m/s]      <u">[m/s]     <V>[m/s]     <u"v">[m2/s2]
    0.0000       18.2627        3.9192       -0.0834        0.9205
    0.0025       17.8749        4.1337        0.0124        2.5774
    0.0050       17.3850        4.0555        0.2638        2.5540
    0.0075       15.9601        4.5258        0.2778        4.7537
    0.0100       14.9147        4.3547        0.3364        4.9343
    0.0125       13.4153        4.1928        0.4439        5.3672
    0.0150       11.4583        4.3136        0.6772        6.6063
    0.0175       10.8539        4.0724        0.6200        6.5044
    0.0200        9.3910        4.0528        0.2567        7.1474
    0.0225        8.5511        3.5880        0.6453        5.3990
    0.0250        7.2322        3.4323        0.6171        5.1338
    0.0275        5.6861        2.9729        0.5109        4.1098
    0.0300        4.8089        2.6524        0.3216        3.0343
    0.0325        4.2082        2.4127        0.5052        2.8050
    0.0350        4.2206        2.2002        0.3568        2.4631
    0.0375        3.6171        1.9717        0.3678        2.0304
    0.0400        2.8529        1.7064        0.2176        1.7673
    0.0425        2.6333        1.5247        0.2747        1.2315
    0.0450        2.3231        1.3450        0.2485        0.8903
    0.0500        1.6327        0.9729        0.1620        0.5597
    0.0550        1.3580        0.7185        0.0632        0.2131
    0.0600        1.1241        0.6077        0.1070        0.0908
    0.0700        0.6858        0.3238       -0.0054        0.0397
