# r/d      <U> m/s   <u'u'> m2/s2
0.0000     62.95    6.13 
0.0694     62.54    6.23 
0.1388     61.36    8.27 
0.2083     59.21    12.45 
0.2777     56.73    15.93 
0.3472     53.34    20.66 
0.4166     48.80    24.50 
0.4861     41.99    37.40
0.5000      0.00    0.00
0.5555      3.45    0.322
0.6250     11.46    1.736
0.6944     15.18    1.484
0.7638     15.45    1.586
0.8333     15.15    1.797
0.9027     15.97    1.360
0.9722     15.56    1.476
1.0416     15.42    1.410
1.1111     15.04    1.546
1.1805     14.25    1.875
1.2300     10.96    1.508
1.2400      0.00    0.000
1.3194      1.04    0.009
1.3888      1.01    0.007
1.4583      1.07    0.007
2.1041      1.02    0.006
