"radial position, mm"	h75mm	h125mm	h175mm	h225mm	h275mm	h325mm	h375mm	h425mm	h475mm	h525mm	h575mm	h625mm	h675mm	h725mm	h775mm	h825mm
-79.929298	0	0	0	0	0	0	0	0	0	0.0020853	0.00614005	0.00428645	0.0025487	0.00127435	0	0
-79.792198	0	0	0	0	0	0	0	0	0	0.002085426	0.006141139	0.004171116	0.002548888	0.001274397	0	0
-79.655098	0	0	0	0	0	0	0	0	0	0.002085514	0.006141909	0.004171467	0.00254902	0.00127443	0	0
-79.517998	0	0	0	0	0	0	0	0	0	0.002085587	0.006142537	0.004171755	0.002549128	0.001274457	0	0
-79.380898	0	0	0	0	0	0	0	0	0	0.002085649	0.00614308	0.004172005	0.002549222	0.00127448	0	0
-79.243797	0	0	0	0	0	0	0	0	0	0.002085705	0.006259482	0.004172228	0.002549306	0.001274501	0	0
-79.106697	0	0	0	0	0	0	0	0	0	0.002085756	0.006259954	0.004172432	0.002549382	0.00127452	0	0
-78.969597	0	0	0	0	0	0	0	0	0	0.002085804	0.006260387	0.00417262	0.002549452	0.001274538	0	0
-78.832497	0	0	0	0	0	0	0	0	0	0.001969967	0.006260789	0.004172797	0.002549518	0.001274555	0	0
-78.695396	0	0	0	0	0	0	0	0	0	0.00197	0.006261167	0.004172963	0.00266547	0.00127457	0	0
-78.558296	0	0	0	0	0	0	0	0	0	0.001970033	0.006261525	0.00417312	0.002665541	0.001274585	0	0
-78.421204	0	0	0	0	0	0	0	0	0	0.001970064	0.006261865	0.00417327	0.002665606	0.001274599	0	0
-78.284103	0	0	0	0	0	0	0	0	0	0.001970095	0.00626219	0.004173414	0.002665667	0.001274612	0	0
-78.147003	0	0	0	0	0	0	0	0	0	0.001970124	0.006262503	0.004173551	0.002665725	0.001274625	0	0
-78.009903	0	0	0	0	0	0	0	0	0	0.001970153	0.006262803	0.004057748	0.002665781	0.001274637	0	0
-77.872803	0	0	0	0	0	0	0	0	0	0.001970181	0.006263092	0.004057859	0.002665834	0.001274649	0	0
-77.735703	0	0	0	0	0	0	0	0	0	0.001970208	0.006263372	0.00405797	0.002665886	0.001274661	0	0
-77.598602	0	0	0	0	0	0	0	0	0	0.001970234	0.006263644	0.004058079	0.002665936	0.001274672	0	0
-77.461502	0	0	0	0	0	0	0	0	0	0.001970259	0.006263907	0.004058185	0.002665984	0.001274683	0	0
-77.324402	0	0	0	0	0	0	0	0	0	0.001854385	0.006264163	0.00405829	0.002666031	0.001274694	0	0
-77.187302	0	0	0	0	0	0	0	0	0	0.001854402	0.006264412	0.004058391	0.002666077	0.001274704	0	0
-77.050201	0	0	0	0	0	0	0	0	0	0.00185442	0.006264655	0.004058491	0.002666121	0.001274714	0	0
-76.913101	0	0	0	0	0	0	0	0	0	0.001854438	0.006264892	0.004058588	0.002666165	0.001274724	0	0
-76.776001	0	0	0	0	0	0	0	0	0	0.001970359	0.006381144	0.004058683	0.002782129	0.001274733	0	0
-76.638901	0	0	0	0	0	0	0	0	0	0.001970385	0.006381396	0.004058776	0.002782182	0.001274742	0	0
-76.501801	0	0	0	0	0	0	0	0	0	0.001970408	0.006381636	0.004058868	0.002666304	0.001390638	0	0
-76.3647	0	0	0	0	0	0	0	0	0	0.001970431	0.006381869	0.004058957	0.00266634	0.001390652	0	0
-76.2276	0	0	0	0	0	0	0	0	0	0.001970453	0.006382096	0.004059045	0.002666377	0.001390665	0	0
-76.0905	0	0	0	0	0	0	0	0	0	0.001970474	0.006382318	0.003943156	0.002666414	0.001390677	0	0
-75.9534	0	0	0	0	0	0	0	0	0	0.001970494	0.006382535	0.003943225	0.00266645	0.001390689	0	0
-75.816299	0	0	0	0	0	0	0	0	0	0.001970514	0.006382748	0.003943297	0.002666486	0.0013907	0	0
-75.679199	0	0	0	0	0	0	0	0	0	0.002086448	0.006382956	0.003943369	0.002666522	0.001390711	0	0
-75.542099	0	0	0	0	0	0	0	0	0	0.002086475	0.006499218	0.004059424	0.002666557	0.001390721	0	0
-75.404999	0	0	0	0	0	0	0	0	0	0.0020865	0.006499444	0.004059511	0.002666591	0.001390731	0	0
-75.267899	0	0	0	0	0	0	0	0	0	0.002086524	0.006499661	0.004059593	0.002666625	0.001390741	0	0
-75.130798	0	0	0	0	0	0	0	0	0	0.002086546	0.006499871	0.004059672	0.0027826	0.001390751	0	0
-74.993698	0	0	0	0	0	0	0	0	0	0.002086569	0.006500076	0.00405975	0.002782643	0.001390761	0	0
-74.856598	0	0	0	0	0	0	0	0	0	0.00208659	0.006500277	0.004059826	0.002782684	0.00139077	0	0
-74.719498	0	0	0	0	0	0	0	0	0	0.002086611	0.006500475	0.0040599	0.002782722	0.001390779	0	0
-74.582397	0	0	0	0	0	0	0	0	0	0.002086632	0.006500669	0.004059974	0.00278276	0.001390788	0	0
-74.445297	0	0	0	0	0	0	0	0	0	0.002086652	0.00650086	0.004060046	0.002782796	0.001390797	0	0
-74.308197	0	0	0	0	0	0	0	0	0	0.002202598	0.006501047	0.004060118	0.002782832	0.001390806	0	0
-74.171097	0	0	0	0	0	0	0	0	0	0.002202626	0.006501232	0.004060188	0.002782867	0.001390814	0	0
-74.033997	0	0	0	0	0	0	0	0	0	0.002202651	0.006501415	0.004060257	0.002782901	0.001390823	0	0
-73.896896	0	0	0	0	0	0	0	0	0	0.002202675	0.006501595	0.004060325	0.002782935	0.001390831	0	0
-73.759804	0	0	0	0	0	0	0	0	0	0.002202699	0.006501772	0.003944382	0.002782968	0.00139084	0	0
-73.622704	0	0	0	0	0	0	0	0	0	0.002202721	0.006501947	0.003944434	0.00289896	0.001390848	0	0
-73.485603	0	0	0	0	0	0	0	0	0	0.002202743	0.00650212	0.003944489	0.002899003	0.001390856	0	0
