"radial position, mm"	h75mm	h125mm	h175mm	h225mm	h275mm	h325mm	h375mm	h425mm	h475mm	h525mm	h575mm	h625mm	h675mm	h725mm	h775mm	h825mm
-79.929298	0	0	0	0	0	0	0	0	0	0.01494465	0.00915215	0.023054151	0.016218999	0.0020853	0	0
-79.792198	0	0	0	0	0	0	0	0	0	0.0145971	0.009268	0.023054151	0.01633485	0.0020853	0	0
-79.655098	0	0	0	0	0	0	0	0	0	0.0143654	0.0094997	0.0229383	0.016450699	0.0020853	0	0
-79.517998	0	0	0	0	0	0	0	0	0	0.0141337	0.0094997	0.022822451	0.01656655	0.00220115	0	0
-79.380898	0	0	0	0	0	0	0	0	0	0.01401785	0.00961555	0.022590751	0.01656655	0.00220115	0	0
-79.243797	0	0	0	0	0	0	0	0	0	0.01378615	0.0097314	0.022590751	0.016682399	0.00220115	0	0
-79.106697	0	0	0	0	0	0	0	0	0	0.0136703	0.00984725	0.0222432	0.016682399	0.00220115	0	0
-78.969597	0	0	0	0	0	0	0	0	0	0.01355445	0.0099631	0.0220115	0.01679825	0.00220115	0	0
-78.832497	0	0	0	0	0	0	0	0	0	0.01332275	0.0101948	0.0217798	0.01679825	0.002317	0	0
-78.695396	0	0	0	0	0	0	0	0	0	0.01309105	0.0104265	0.0215481	0.01702995	0.002317	0	0
-78.558296	0	0	0	0	0	0	0	0	0	0.01285935	0.0106582	0.021200551	0.01702995	0.00243285	0	0
-78.421204	0	0	0	0	0	0	0	0	0	0.01262765	0.0108899	0.020968851	0.01702995	0.0025487	0	0
-78.284103	0	0	0	0	0	0	0	0	0	0.01239595	0.0111216	0.0206213	0.017145799	0.00266455	0	0
-78.147003	0	0	0	0	0	0	0	0	0	0.01216425	0.0113533	0.020273751	0.017145799	0.0027804	0	0
-78.009903	0	0	0	0	0	0	0	0	0	0.01193255	0.011585	0.019810351	0.01726165	0.00289625	0	0
-77.872803	0	0	0	0	0	0	0	0	0	0.011585	0.01170085	0.0194628	0.01726165	0.00312795	0	0
-77.735703	0	0	0	0	0	0	0	0	0	0.0113533	0.0120484	0.019115251	0.017377499	0.00335965	0	0
-77.598602	0	0	0	0	0	0	0	0	0	0.01123745	0.0122801	0.0187677	0.017377499	0.00359135	0	0
-77.461502	0	0	0	0	0	0	0	0	0	0.01100575	0.0125118	0.0183043	0.017377499	0.0039389	0	0
-77.324402	0	0	0	0	0	0	0	0	0	0.0108899	0.01285935	0.01795675	0.01749335	0.0041706	0	0
-77.187302	0	0	0	0	0	0	0	0	0	0.0108899	0.01332275	0.0176092	0.017377499	0.00428645	0	0
-77.050201	0	0	0	0	0	0	0	0	0	0.01100575	0.01378615	0.017377499	0.01749335	0.004634	0	0
-76.913101	0	0	0	0	0	0	0	0	0	0.01123745	0.0143654	0.016914099	0.01749335	0.0048657	0	0
-76.776001	0	0	0	0	0	0	0	0	0	0.01146915	0.01494465	0.016682399	0.017377499	0.0050974	0	0
-76.638901	0	0	0	0	0	0	0	0	0	0.0118167	0.0155239	0.01633485	0.01749335	0.00544495	0	0
-76.501801	0	0	0	0	0	0	0	0	0	0.01216425	0.01610315	0.015987299	0.01749335	0.00567665	0	0
-76.3647	0	0	0	0	0	0	0	0	0	0.0125118	0.016682399	0.015755599	0.01749335	0.00590835	0	0
-76.2276	0	0	0	0	0	0	0	0	0	0.0129752	0.01726165	0.0155239	0.01749335	0.00614005	0	0
-76.0905	0	0	0	0	0	0	0	0	0	0.01332275	0.0178409	0.01540805	0.01749335	0.0062559	0	0
-75.9534	0	0	0	0	0	0	0	0	0	0.0136703	0.018420151	0.01517635	0.017377499	0.00660345	0	0
-75.816299	0	0	0	0	0	0	0	0	0	0.01401785	0.0189994	0.01494465	0.017377499	0.0067193	0	0
-75.679199	0	0	0	0	0	0	0	0	0	0.01424955	0.019578651	0.01471295	0.01726165	0.00683515	0	0
-75.542099	0	0	0	0	0	0	0	0	0	0.01448125	0.020042051	0.01448125	0.01726165	0.006951	0	0
-75.404999	0	0	0	0	0	0	0	0	0	0.01471295	0.0206213	0.01448125	0.017377499	0.0071827	0	0
-75.267899	0	0	0	0	0	0	0	0	0	0.01494465	0.0210847	0.01424955	0.017377499	0.00729855	0	0
-75.130798	0	0	0	0	0	0	0	0	0	0.01517635	0.0215481	0.0141337	0.01749335	0.00729855	0	0
-74.993698	0	0	0	0	0	0	0	0	0	0.01540805	0.021895651	0.01401785	0.0176092	0.0074144	0	0
-74.856598	0	0	0	0	0	0	0	0	0	0.015755599	0.0222432	0.013902	0.01772505	0.0074144	0	0
-74.719498	0	0	0	0	0	0	0	0	0	0.01633485	0.022590751	0.013902	0.0178409	0.0076461	0	0
-74.582397	0	0	0	0	0	0	0	0	0	0.016914099	0.022822451	0.013902	0.01818845	0.0076461	0	0
-74.445297	0	0	0	0	0	0	0	0	0	0.01749335	0.0229383	0.01378615	0.01818845	0.0076461	0	0
-74.308197	0	0	0	0	0	0	0	0	0	0.01795675	0.02317	0.0136703	0.018420151	0.00776195	0	0
-74.171097	0	0	0	0	0	0	0	0	0	0.018536	0.023285851	0.0134386	0.018651851	0.0076461	0	0
-74.033997	0	0	0	0	0	0	0	0	0	0.0189994	0.02317	0.01332275	0.0187677	0.0076461	0	0
-73.896896	0	0	0	0	0	0	0	0	0	0.019346951	0.02317	0.0129752	0.0189994	0.00753025	0	0
-73.759804	0	0	0	0	0	0	0	0	0	0.019578651	0.023054151	0.0127435	0.0192311	0.0074144	0	0
