#x/D               width             
 3.93700787e-02   6.98598798e-01 
 5.00000000e+00   6.98598798e-01 
 1.00000000e+01   6.98598798e-01 
 1.50000000e+01   1.55874535e+00 
 2.00000000e+01   2.41889189e+00 
 2.50000000e+01   3.27903844e+00 
 3.00000000e+01   4.13918499e+00 
 3.50000000e+01   4.99933153e+00 
 4.00000000e+01   5.85947808e+00 
 4.50000000e+01   6.71962463e+00 
 5.00000000e+01   7.57977117e+00 
 5.50000000e+01   8.43991772e+00 
 6.00000000e+01   9.30006427e+00 
 6.50000000e+01   1.01602108e+01 
 7.00000000e+01   1.10203574e+01 
 7.50000000e+01   1.18805039e+01 
 8.00000000e+01   1.27406505e+01 
 8.50000000e+01   1.36007970e+01 
 9.00000000e+01   1.44609435e+01 
 9.50000000e+01   1.53210901e+01 
 1.00000000e+02   1.61812366e+01 
