# Hussein 1994
# LDA data
# r/(x-x0)   U/Ucl
0.2083901773533424 0.06108716566204497
0.19542974079126876 0.07743650228553745
0.1821282401091405 0.10309285821697312
0.16916780354706684 0.15529876854564484
0.15654843110504774 0.1942135958213531
0.14324693042291947 0.25971058920298806
0.12994542974079126 0.28536694513442373
0.11698499317871758 0.38538162040333446
0.10368349249658934 0.4495505925366293
0.09072305593451568 0.5110526516036809
0.077762619372442 0.5898189868991519
0.077762619372442 0.6017711781342117
0.06480218281036834 0.6738974071879831
0.06480218281036834 0.6858495984230428
0.05184174624829468 0.7765681249535736
0.05184174624829468 0.7858642736919534
0.03854024556616644 0.8500332458252484
0.03854024556616644 0.868625543302008
0.025920873124147335 0.9367568380411959
0.025920873124147335 0.9619892417596554
0.012960436562073664 0.9756825358864678
0 0.9840637450199203
0 1
#
#
## SHW
#0.20814132104454688 0.05981557594460807
#0.19546850998463902 0.0752111558563171
#0.16935483870967744 0.15407342826697668
#0.15745007680491552 0.223499997693546
#0.12980030721966207 0.33844443521862877
#0.11635944700460829 0.42593515174160324
#0.08986175115207373 0.5888930405059436
#0.07757296466973887 0.6778506617216293
#0.06605222734254992 0.774292725905629
#0.05222734254992319 0.8392724521756778
#0.04032258064516129 0.8861764990797247
#0.03302611367127497 0.9119211377275892
#0.019969278033794162 0.9708717934524385
#0.014208909370199689 0.9890627955144083
#0.0003840245775729653 0.9999884677304031
##LDA
#0.15591397849462366 0.19351609674190307
#0.14324116743471582 0.2584612262031616
#0.14055299539170507 0.2690524626008496
#0.13056835637480801 0.2828658151238794
#0.11712749615975424 0.38537154666186924
#0.10368663594470048 0.44883823916081966
#0.0956221198156682 0.4821134498553853
#0.09062980030721968 0.5122933993901735
#0.07757296466973887 0.5877605716315393
#0.07757296466973887 0.6027755866465543
#0.06490015360983103 0.6827357311228278
#0.051843317972350235 0.7747194198807101
#0.05222734254992319 0.7852183981216239
#0.03878648233486943 0.8501865921220759
#0.03840245775729647 0.8697176439111922
#0.026113671274961607 0.9361527426043554
#0.01382488479262673 0.9770623157719931
#0 0.9849849849849849
#0 0.9999999999999999
##FHW
#0.141705069124424 0.2660148627890564
#0.1336405529953917 0.27526604945959765
#0.1259600614439324 0.3265477459025846
#0.11943164362519204 0.3702873380292735
#0.11098310291858679 0.40657708399643877
#0.10368663594470048 0.44733673765931825
#0.0956221198156682 0.4821134498553853
#0.08870967741935484 0.537876586263683
#0.08102918586789556 0.5696387631871502
#0.0741167434715822 0.6359124101059583
#0.06720430107526881 0.6871710420097517
#0.059523809523809514 0.7384527384527384
#0.05222734254992319 0.8047379176411433
#0.03763440860215054 0.8892602279699053
#0.030337941628264205 0.9240138756267787
#0.021889400921658995 0.948291609581932
#0.0003840245775729653 0.9999884677304031
