 flame name      : DLR H2/CH4/N2-Jet Diffusion Flame [V1]
 institute       : Energie- und Kraftwerkstechnik, TU Darmstadt, Germany
 data            : 2d-LDA measurements
 fuel  mixture   : 33% H2, 22.1% CH4, 44.9% N2
 diameter        : d_nozzle = 0.008 m
 bulk velocity   : U_fuel = 42.15 m/s
 Reynolds number : Re = 15200
 data rows       : 15
 data columns    : 5
 location        : x/d_nozzle = 20
 
     r[m]        <U>[m/s]      <u">[m/s]     <V>[m/s]     <u"v">[m2/s2]
    0.0000       33.9115        4.9112        0.0079        0.7608
    0.0025       32.2098        5.4333        0.3797        7.2021
    0.0050       28.2091        6.0516        0.7869       11.6388
    0.0075       23.3907        6.2809        0.8389       15.2224
    0.0100       17.6352        6.3009        0.3675       16.9319
    0.0125       13.4382        5.6647        0.6575       12.0673
    0.0150        8.8288        4.7796        0.6449        8.6292
    0.0175        4.7883        3.2376        0.0448        3.8191
    0.0200        3.0022        2.2747        0.2337        2.6060
    0.0225        2.1593        1.6075        0.1909        1.3359
    0.0250        1.3741        1.0694        0.0593        0.6417
    0.0275        0.8539        0.7049        0.0264        0.1954
    0.0300        0.7435        0.5214        0.0219        0.0811
    0.0350        0.4275        0.2096       -0.0052       -0.0039
    0.0400        0.3650        0.1760        0.0169       -0.0137
