# x/d= 5              
# 1_r/d 2_T 3_Trms    
#
  -1.56 289.   4.     
  -1.44 292.  12.     
  -1.31 326.  80.     
  -1.19 573. 316.     
  -1.12 809. 430.     
  -1.06 1131. 446.     
  -1.00 1484. 361.     
  -0.94 1676. 236.     
  -0.88 1618. 269.     
  -0.81 1509. 317.     
  -0.69 1144. 333.     
  -0.56 784. 234.     
  -0.44 562. 187.     
  -0.31 413. 110.     
  -0.19 326.  45.     
  -0.06 298.  10.     
   0.06 298.  10.     
   0.19 326.  45.     
   0.31 413. 110.     
   0.44 562. 187.     
   0.56 784. 234.     
   0.69 1144. 333.     
   0.81 1509. 317.     
   0.88 1618. 269.     
   0.94 1676. 236.     
   1.00 1484. 361.     
   1.06 1131. 446.     
   1.12 809. 430.     
   1.19 573. 316.     
   1.31 326.  80.     
   1.44 292.  12.     
   1.56 289.   4.     
                      
