# x/d=            10           
# 1_r/d 2_T 3_Trms   
#
   -2.88 290.   1.  
   -2.62 292.   3.  
   -2.38 300.  30.  
   -2.12 367. 153.  
   -1.88 599. 364.  
   -1.62 1037. 501.  
   -1.50 1355. 460.  
   -1.38 1563. 350.  
   -1.25 1607. 282.  
   -1.12 1534. 301.  
   -1.00 1355. 323.  
   -0.88 1158. 308.  
   -0.62 805. 232.  
   -0.38 573. 175.  
   -0.12 427. 116.  
    0.12 427. 116.  
    0.38 573. 175.  
    0.62 805. 232.  
    0.88 1158. 308.  
    1.00 1355. 323.  
    1.12 1534. 301.  
    1.25 1607. 282.  
    1.38 1563. 350.  
    1.50 1355. 460.  
    1.62 1037. 501.  
    1.88 599. 364.  
    2.12 367. 153.  
    2.38 300.  30.  
    2.62 292.   3.  
    2.88 290.   1.  
                    
                    
                    
