#x/d=         20           
# 1_r/d 2_T 3_Trms   
#
    -5.75  291.   1.  
    -5.12  291.   1.  
    -4.50  295.  21.  
    -3.88  390. 204.  
    -3.56  489. 296.  
    -3.25  640. 371.  
    -2.94  814. 452.  
    -2.62 1084. 514.  
    -2.31 1356. 479.  
    -2.00 1604. 345.  
    -1.69 1626. 266.  
    -1.38 1510. 294.  
    -1.06 1321. 296.  
    -0.75 1111. 260.  
    -0.44  977. 211.  
    -0.12  898. 178.  
     0.12  898. 178.  
     0.44  977. 211.  
     0.75 1111. 260.  
     1.06 1321. 296.  
     1.38 1510. 294.  
     1.69 1626. 266.  
     2.00 1604. 345.  
     2.31 1356. 479.  
     2.62 1084. 514.  
     2.94  814. 452.  
     3.25  640. 371.  
     3.56  489. 296.  
     3.88  390. 204.  
     4.50  295.  21.  
     5.12  291.   1.  
     5.75  291.   1.  
                      
