#x/d=        40            
# 1_r/d 2_T 3_Trms   
#
    -10.00  293.   2. 
     -9.38  293.   5. 
     -8.75  295.  14. 
     -8.12  327.  83. 
     -7.50  384. 203. 
     -6.88  429. 228. 
     -6.25  540. 311. 
     -5.62  709. 386. 
     -5.00  872. 461. 
     -4.38 1062. 477. 
     -3.75 1306. 476. 
     -3.12 1550. 411. 
     -2.50 1692. 277. 
     -1.88 1742. 205. 
     -1.25 1691. 192. 
     -0.62 1617. 199. 
      0.00 1576. 180. 
      0.62 1617. 199. 
      1.25 1691. 192. 
      1.88 1742. 205. 
      2.50 1692. 277. 
      3.12 1550. 411. 
      3.75 1306. 476. 
      4.38 1062. 477. 
      5.00  872. 461. 
      5.62  709. 386. 
      6.25  540. 311. 
      6.88  429. 228. 
      7.50  384. 203. 
      8.12  327.  83. 
      8.75  295.  14. 
      9.38  293.   5. 
     10.00  293.   2. 
