#x/d=     60              
# 1_r/d 2_T 3_Trms   
#
    -17.25  294.   2.
    -16.25  294.   3.
    -15.00  294.   2.
    -13.75  294.   4.
    -12.50  299.  24.
    -11.25  339.  96.
    -10.00  413. 176.
     -8.75  499. 220.
     -7.50  636. 304.
     -6.25  866. 399.
     -5.00 1099. 424.
     -3.75 1371. 435.
     -2.50 1666. 320.
     -1.25 1801. 201.
      0.00 1838. 164.
      1.25 1801. 201.
      2.50 1666. 320.
      3.75 1371. 435.
      5.00 1099. 424.
      6.25  866. 399.
      7.50  636. 304.
      8.75  499. 220.
     10.00  413. 176.
     11.25  339.  96.
     12.50  299.  24.
     13.75  294.   4.
     15.00  294.   2.
     16.25  294.   3.
     17.25  294.   2.
     
     


