# x/d= 5                 
# 1_r/d 2_Z 3_Zrms       
#
  -1.56 0.0000 0.0006    
  -1.44 0.0000 0.0010    
  -1.31 0.0010 0.0048    
  -1.19 0.0164 0.0214    
  -1.12 0.0341 0.0353    
  -1.06 0.0653 0.0507    
  -1.00 0.1182 0.0682    
  -0.94 0.1826 0.0853    
  -0.88 0.2722 0.1137    
  -0.81 0.3430 0.1275    
  -0.69 0.5105 0.1456    
  -0.56 0.6829 0.1199    
  -0.44 0.8066 0.1068    
  -0.31 0.8973 0.0731    
  -0.19 0.9540 0.0408    
  -0.06 0.9731 0.0243    
   0.06 0.9731 0.0243    
   0.19 0.9540 0.0408    
   0.31 0.8973 0.0731    
   0.44 0.8066 0.1068    
   0.56 0.6829 0.1199    
   0.69 0.5105 0.1456    
   0.81 0.3430 0.1275    
   0.88 0.2722 0.1137    
   0.94 0.1826 0.0853    
   1.00 0.1182 0.0682    
   1.06 0.0653 0.0507    
   1.12 0.0341 0.0353    
   1.19 0.0164 0.0214    
   1.31 0.0010 0.0048    
   1.44 0.0000 0.0010    
   1.56 0.0000 0.0006    
