Mean Temperature (K)																					
	Radial Position (mm)																				
z (mm)	-50	-45	-40	-35	-30	-25	-20	-15	-10	-5	0	5	10	15	20	25	30	35	40	45	50
176			933	1643	1654	1742	1762	1759	1718	1623	1562	1598	1674	1729	1780	1777	1723	1608	705		
224			1483	1651	1706	1720	1713	1669	1613	1497	1467	1476	1560	1634	1713	1726	1699	1694	1644		
272		1511	1657	1661	1698	1702	1678	1647	1557	1525	1501	1505	1536	1617	1648	1681	1667	1675	1657	1646	
320		1643	1656	1671	1678	1669	1651	1622	1568	1497	1542	1503	1535	1569	1605	1633	1641	1643	1652	1651	
368		1652	1660	1658	1657	1643	1624	1600	1566	1535	1520	1512	1522	1542	1566	1592	1610	1622	1624	1627	
400	1610	1617	1622	1626	1628	1623	1611	1593	1572	1543	1527	1524	1533	1549	1569	1593	1605	1614	1615	1622	1615
416	1606	1616	1620	1626	1626	1622	1610	1595	1574	1552	1538	1533	1539	1552	1571	1590	1604	1612	1618	1606	1616
432	1603	1606	1612	1616	1620	1613	1604	1589	1573	1554	1541	1538	1542	1555	1575	1586	1599	1606	1611	1606	1593
464	1588	1597	1601	1603	1605	1599	1592	1580	1569	1558	1548	1542	1546	1563	1571	1583	1592	1596	1589	1587	1572
512		1567	1571	1576	1577	1577	1572	1567	1559	1554	1549	1548	1549	1553	1558	1565	1569	1568	1560	1574	
560		1535	1538	1547	1550	1551	1553	1550	1548	1545	1544	1544	1546	1549	1548	1551	1550	1546	1553	1548	
608	1475	1478	1491	1505	1520	1521	1527	1530	1535	1534	1536	1537	1535	1535	1534	1532	1528	1520	1509	1528	1519
656	1420	1429	1434	1457	1468	1480	1490	1498	1504	1510	1513	1517	1517	1514	1511	1507	1517	1513	1506	1494	
704		1419	1434	1449	1460	1472	1478	1490	1494	1502	1503	1503	1504	1503	1502	1492	1485	1495	1487	1474	
752		1340	1366	1368	1444	1454	1456	1465	1474	1478	1479	1479	1488	1485	1481	1483	1479	1470	1430	1468	
																					
Standard Deviation of Temperature (K)																					
	Radial Position (mm)																				
z (mm)	-50	-45	-40	-35	-30	-25	-20	-15	-10	-5	0	5	10	15	20	25	30	35	40	45	50
176			82	137	174	104	104	102	107	118	140	137	114	107	98	96	104	218	93		
224			256	136	98	103	107	117	121	145	146	149	127	116	105	101	91	87	136		
272		215	92	124	97	99	106	114	125	122	114	116	121	122	113	100	116	95	119	110	
320		102	98	98	96	106	105	104	107	111	94	95	98	102	101	105	110	107	104	98	
368		96	96	106	100	102	96	94	93	92	89	88	88	92	92	116	92	100	111	108	
400	99	96	106	98	96	97	92	90	90	88	87	85	86	89	90	90	93	99	111	106	118
416	97	98	101	101	98	94	92	90	89	87	86	84	86	87	92	89	89	92	95	119	101
432	98	97	102	99	97	94	92	90	89	87	85	85	85	87	89	90	89	96	95	110	122
464	105	94	97	97	95	92	94	91	91	89	88	86	87	89	90	91	89	91	108	113	133
512		116	115	111	108	103	100	98	95	95	95	95	95	97	102	100	99	114	130	104	
560		115	113	114	109	106	104	107	103	99	93	93	94	95	105	106	107	119	104	121	
608	122	126	125	124	112	112	112	106	100	101	100	99	99	101	105	109	111	129	137	103	109
656	135	134	137	136	138	137	128	127	126	121	120	113	115	124	129	135	101	106	113	130	
704		128	125	129	124	122	122	115	111	107	108	114	111	116	115	140	144	112	119	148	
752		174	177	180	137	128	129	128	123	122	122	119	112	113	123	116	119	130	203	118	
