#            x/D           =            23.4375  ~  23  
#            r(mm)         r/D          fv(ppm)  rms_fv
-79.929298   -24.97790563  0            0
-79.792198   -24.93506188  0            0
-79.655098   -24.89221813  0            0
-79.517998   -24.84937438  0            0
-79.380898   -24.80653063  0            0
-79.243797   -24.76368656  0            0
-79.106697   -24.72084281  0            0
-78.969597   -24.67799906  0            0
-78.832497   -24.63515531  0            0
-78.695396   -24.59231125  0            0
-78.558296   -24.5494675   0            0
-78.421204   -24.50662625  0            0
-78.284103   -24.46378219  0            0
-78.147003   -24.42093844  0            0
-78.009903   -24.37809469  0            0
-77.872803   -24.33525094  0            0
-77.735703   -24.29240719  0            0
-77.598602   -24.24956313  0            0
-77.461502   -24.20671938  0            0
-77.324402   -24.16387563  0            0
-77.187302   -24.12103188  0            0
-77.050201   -24.07818781  0            0
-76.913101   -24.03534406  0            0
-76.776001   -23.99250031  0            0
-76.638901   -23.94965656  0            0
-76.501801   -23.90681281  0            0
-76.3647     -23.86396875  0            0
-76.2276     -23.821125    0            0
-76.0905     -23.77828125  0            0
-75.9534     -23.7354375   0            0
-75.816299   -23.69259344  0            0
-75.679199   -23.64974969  0            0
-75.542099   -23.60690594  0            0
-75.404999   -23.56406219  0            0
-75.267899   -23.52121844  0            0
-75.130798   -23.47837438  0            0
-74.993698   -23.43553063  0            0
-74.856598   -23.39268688  0            0
-74.719498   -23.34984313  0            0
-74.582397   -23.30699906  0            0
-74.445297   -23.26415531  0            0
-74.308197   -23.22131156  0            0
-74.171097   -23.17846781  0            0
-74.033997   -23.13562406  0            0
-73.896896   -23.09278     0            0
-73.759804   -23.04993875  0            0
-73.622704   -23.007095    0            0
-73.485603   -22.96425094  0            0
-73.348503   -22.92140719  0            0
-73.211403   -22.87856344  0            0
-73.074303   -22.83571969  0            0
-72.937202   -22.79287563  0            0
-72.800102   -22.75003188  0            0
-72.663002   -22.70718813  0            0
-72.525902   -22.66434438  0            0
-72.388802   -22.62150063  0            0
-72.251701   -22.57865656  0            0
-72.114601   -22.53581281  0            0
-71.977501   -22.49296906  0            0
-71.840401   -22.45012531  0            0
-71.7033     -22.40728125  0            0
-71.5662     -22.3644375   0            0
-71.4291     -22.32159375  0            0
-71.292      -22.27875     0            0
-71.1549     -22.23590625  0            0
-71.017799   -22.19306219  0            0
-70.880699   -22.15021844  0            0
-70.743599   -22.10737469  0            0
-70.606499   -22.06453094  0            0
-70.469398   -22.02168688  0            0
-70.332298   -21.97884313  0            0
-70.195198   -21.93599938  0            0
-70.058098   -21.89315563  0            0
-69.920998   -21.85031188  0            0
-69.783897   -21.80746781  0            0
-69.646797   -21.76462406  0            0
-69.509697   -21.72178031  0            0
-69.372597   -21.67893656  0            0
-69.235497   -21.63609281  0            0
-69.098396   -21.59324875  0            0
-68.961304   -21.5504075   0            0
-68.824203   -21.50756344  0            0
-68.687103   -21.46471969  0            0
-68.550003   -21.42187594  0            0
-68.412903   -21.37903219  0            0
-68.275803   -21.33618844  0            0
-68.138702   -21.29334438  0            0
-68.001602   -21.25050063  0            0
-67.864502   -21.20765688  0            0
-67.727402   -21.16481313  0            0
-67.590302   -21.12196938  0            0
-67.453201   -21.07912531  0            0
-67.316101   -21.03628156  0            0
-67.179001   -20.99343781  0            0
-67.041901   -20.95059406  0            0
-66.9048     -20.90775     0            0
-66.7677     -20.86490625  0            0
-66.6306     -20.8220625   0            0
-66.4935     -20.77921875  0            0
-66.3564     -20.736375    0            0
-66.219299   -20.69353094  0            0
-66.082199   -20.65068719  0            0
-65.945099   -20.60784344  0            0
-65.807999   -20.56499969  0            0
-65.670898   -20.52215563  0            0
-65.533798   -20.47931188  0            0
-65.396698   -20.43646813  0            0
-65.259598   -20.39362438  0            0
-65.122498   -20.35078063  0            0
-64.985397   -20.30793656  0            0
-64.848297   -20.26509281  0            0
-64.711197   -20.22224906  0            0
-64.574097   -20.17940531  0            0
-64.436996   -20.13656125  0            0
-64.299896   -20.0937175   0            0
-64.162804   -20.05087625  0            0
-64.025703   -20.00803219  0            0
-63.888599   -19.96518719  0            0
-63.751499   -19.92234344  0            0
-63.614399   -19.87949969  0            0
-63.477299   -19.83665594  0            0
-63.340199   -19.79381219  0            0
-63.203098   -19.75096813  0            0
-63.066002   -19.70812563  0            0
-62.928902   -19.66528188  0            0
-62.791801   -19.62243781  0            0
-62.654701   -19.57959406  0            0
-62.517601   -19.53675031  0            0
-62.380501   -19.49390656  0            0
-62.243401   -19.45106281  0            0
-62.1063     -19.40821875  0            0
-61.9692     -19.365375    0            0
-61.8321     -19.32253125  0            0
-61.695      -19.2796875   0            0
-61.557899   -19.23684344  0            0
-61.420799   -19.19399969  0            0
-61.283699   -19.15115594  0            0
-61.146599   -19.10831219  0            0
-61.009499   -19.06546844  0            0
-60.872398   -19.02262438  0            0
-60.735298   -18.97978063  0            0
-60.598202   -18.93693813  0            0
-60.461102   -18.89409438  0            0
-60.324001   -18.85125031  0            0
-60.186901   -18.80840656  0            0
-60.049801   -18.76556281  0            0
-59.912701   -18.72271906  0            0
-59.7756     -18.679875    0            0
-59.6385     -18.63703125  0            0
-59.5014     -18.5941875   0            0
-59.3643     -18.55134375  0            0
-59.2272     -18.5085      0            0
-59.090099   -18.46565594  0            0
-58.952999   -18.42281219  0            0
-58.815899   -18.37996844  0            0
-58.678799   -18.33712469  0            0
-58.541698   -18.29428063  0            0
-58.404598   -18.25143688  0            0
-58.267502   -18.20859438  0            0
-58.130402   -18.16575063  0            0
-57.993301   -18.12290656  0            0
-57.856201   -18.08006281  0            0
-57.719101   -18.03721906  0            0
-57.582001   -17.99437531  0            0
-57.444901   -17.95153156  0            0
-57.3078     -17.9086875   0            0
-57.1707     -17.86584375  0            0
-57.0336     -17.823       0            0
-56.8965     -17.78015625  0            0
-56.759399   -17.73731219  0            0
-56.622299   -17.69446844  0            0
-56.485199   -17.65162469  0            0
-56.348099   -17.60878094  0            0
-56.210999   -17.56593719  0            0
-56.073898   -17.52309313  0            0
-55.936798   -17.48024938  0            0
-55.799702   -17.43740688  0            0
-55.662601   -17.39456281  0            0
-55.525501   -17.35171906  0            0
-55.388401   -17.30887531  0            0
-55.251301   -17.26603156  0            0
-55.114201   -17.22318781  0            0
-54.9771     -17.18034375  0            0
-54.84       -17.1375      0            0
-54.7029     -17.09465625  0            0
-54.5658     -17.0518125   0            0
