# z = 175 mm
# z/D = 54.6875 ~ 55
# r (mm)    r/D         OH (arb units)
-34.5492  -10.796625    14.5    
-34.4121  -10.75378125  14      
-34.275   -10.7109375   14.5    
-34.1379  -10.66809375  15.5    
-34.0008  -10.62525     15.5    
-33.8637  -10.58240625  16      
-33.7266  -10.5395625   16.5    
-33.5895  -10.49671875  17      
-33.4524  -10.453875    17.5    
-33.3153  -10.41103125  18      
-33.1782  -10.3681875   19      
-33.0411  -10.32534375  19      
-32.904   -10.2825      19.5    
-32.7669  -10.23965625  19.5    
-32.6298  -10.1968125   20.5    
-32.4927  -10.15396875  21      
-32.3556  -10.111125    21.5    
-32.2185  -10.06828125  22      
-32.0814  -10.0254375   22.5    
-31.9443  -9.98259375   23.5    
-31.8072  -9.93975      24.5    
-31.6701  -9.89690625   25      
-31.533   -9.8540625    26      
-31.3959  -9.81121875   26.5    
-31.2588  -9.768375     28      
-31.1217  -9.72553125   28.5    
-30.9846  -9.6826875    30      
-30.8475  -9.63984375   32      
-30.7104  -9.597        33      
-30.5733  -9.55415625   34.5    
-30.4362  -9.5113125    36.5    
-30.2991  -9.46846875   38.5    
-30.162   -9.425625     40.5    
-30.0249  -9.38278125   42.5    
-29.8878  -9.3399375    45      
-29.7507  -9.29709375   47.5    
-29.6136  -9.25425      50      
-29.4765  -9.21140625   52.5    
-29.3394  -9.1685625    55.5    
-29.2023  -9.12571875   59      
-29.0652  -9.082875     62.5    
-28.9281  -9.04003125   65.5    
-28.791   -8.9971875    69      
-28.6539  -8.95434375   74      
-28.5168  -8.9115       78.5    
-28.3797  -8.86865625   83.5    
-28.2426  -8.8258125    89      
-28.1055  -8.78296875   95      
-27.9684  -8.740125     102     
-27.8313  -8.69728125   109     
-27.6942  -8.6544375    117     
-27.5571  -8.61159375   125     
-27.42    -8.56875      133     
-27.2829  -8.52590625   142     
-27.1458  -8.4830625    151     
-27.0087  -8.44021875   160.5   
-26.8716  -8.397375     169.5   
-26.7345  -8.35453125   178.5   
-26.5974  -8.3116875    187.5   
-26.4603  -8.26884375   197     
-26.3232  -8.226        206.5   
-26.1861  -8.18315625   215     
-26.049   -8.1403125    224     
-25.9119  -8.09746875   233     
-25.7748  -8.054625     243     
-25.6377  -8.01178125   253     
-25.5006  -7.9689375    263     
-25.3635  -7.92609375   273     
-25.2264  -7.88325      283     
-25.0893  -7.84040625   293.5   
-24.9522  -7.7975625    304.5   
-24.8151  -7.75471875   315.5   
-24.678   -7.711875     326.5   
-24.5409  -7.66903125   338     
-24.4038  -7.6261875    351     
-24.2667  -7.58334375   364     
-24.1296  -7.5405       377.5   
-23.9925  -7.49765625   391.5   
-23.8554  -7.4548125    406     
-23.7183  -7.41196875   422.5   
-23.5812  -7.369125     439     
-23.4441  -7.32628125   456     
-23.307   -7.2834375    473.5   
-23.1699  -7.24059375   492     
-23.0328  -7.19775      511.5   
-22.8957  -7.15490625   531     
-22.7586  -7.1120625    550.5   
-22.6215  -7.06921875   571.5   
-22.4844  -7.026375     593     
-22.3473  -6.98353125   616     
-22.2102  -6.9406875    639.5   
-22.0731  -6.89784375   663     
-21.936   -6.855        687.5   
-21.7989  -6.81215625   712     
-21.6618  -6.7693125    736.5   
-21.5247  -6.72646875   760.5   
-21.3876  -6.683625     781     
-21.2505  -6.64078125   801     
-21.1134  -6.5979375    820.5   
-20.9763  -6.55509375   839     
-20.8392  -6.51225      855     
-20.7021  -6.46940625   870.5   
-20.565   -6.4265625    885     
-20.4279  -6.38371875   898.5   
-20.2908  -6.340875     911.5   
-20.1537  -6.29803125   923     
-20.0166  -6.2551875    933.5   
-19.8795  -6.21234375   943     
-19.7424  -6.1695       952     
-19.6053  -6.12665625   960.5   
-19.4682  -6.0838125    968.5   
-19.3311  -6.04096875   976.5   
-19.194   -5.998125     984     
-19.0569  -5.95528125   990     
-18.9198  -5.9124375    997     
-18.7827  -5.86959375   1003.5  
-18.6456  -5.82675      1009    
-18.5085  -5.78390625   1010.5  
-18.3714  -5.7410625    1011.5  
-18.2343  -5.69821875   1010.5  
-18.0972  -5.655375     1008    
-17.9601  -5.61253125   1006    
-17.823   -5.5696875    1003    
-17.6859  -5.52684375   999.5   
-17.5488  -5.484        998.5   
-17.4117  -5.44115625   995.5   
-17.2746  -5.3983125    992.5   
-17.1375  -5.35546875   991.5   
-17.0004  -5.312625     988.5   
-16.8633  -5.26978125   985     
-16.7262  -5.2269375    980.5   
-16.5891  -5.18409375   974     
-16.452   -5.14125      968     
-16.3149  -5.09840625   961     
-16.1778  -5.0555625    950.5   
-16.0407  -5.01271875   937.5   
-15.9036  -4.969875     924     
-15.7665  -4.92703125   909     
-15.6294  -4.8841875    891.5   
-15.4923  -4.84134375   874     
-15.3552  -4.7985       853     
-15.2181  -4.75565625   832.5   
-15.081   -4.7128125    812     
-14.9439  -4.66996875   790.5   
-14.8068  -4.627125     770     
-14.6697  -4.58428125   750     
-14.5326  -4.5414375    729.5   
-14.3955  -4.49859375   710.5   
-14.2584  -4.45575      692.5   
-14.1213  -4.41290625   674     
-13.9842  -4.3700625    655     
-13.8471  -4.32721875   636     
-13.71    -4.284375     617     
-13.5729  -4.24153125   598.5   
-13.4358  -4.1986875    580     
-13.2987  -4.15584375   561     
-13.1616  -4.113        542     
-13.0245  -4.07015625   524     
-12.8874  -4.0273125    505     
-12.7503  -3.98446875   486.5   
-12.6132  -3.941625     468.5   
-12.4761  -3.89878125   451     
-12.339   -3.8559375    434     
-12.2019  -3.81309375   417     
-12.0648  -3.77025      400.5   
-11.9277  -3.72740625   384.5   
-11.7906  -3.6845625    369     
-11.6535  -3.64171875   353.5   
-11.5164  -3.598875     338     
-11.3793  -3.55603125   323     
-11.2422  -3.5131875    309     
-11.1051  -3.47034375   295     
-10.968   -3.4275       281.5   
-10.8309  -3.38465625   269     
