# z (mm)	T_mean (K)	T_stdev (K)	unc_mean (K)	unc_stdev (K)
96	1465	332	11.5	12.0
112	1482	311	11.5	11.2
128	1538	253	11.5	9.1
144	1564	220	11.5	7.9
160	1595	162	11.5	5.8
176	1590	152	11.5	5.5
192	1571	144	11.5	5.2
208	1552	135	11.5	4.9
224	1539	137	11.5	4.9
240	1531	128	11.5	4.6
256	1528	129	11.5	4.6
272	1528	131	11.5	4.7
288	1528	122	11.5	4.4
304	1528	112	11.5	4.0
320	1528	101	11.5	3.6
336	1528	99	11.5	3.6
352	1528	97	11.5	3.5
368	1528	92	11.5	3.3
384	1529	90	11.5	3.2
400	1530	87	11.5	3.1
416	1533	86	11.5	3.1
432	1537	85	11.5	3.0
448	1543	84	11.5	3.0
464	1547	86	11.5	3.1
480	1552	84	11.5	3.0
496	1555	88	11.5	3.2
512	1556	88	11.5	3.2
528	1556	90	11.5	3.2
544	1554	103	11.5	3.7
560	1551	98	11.5	3.5
576	1547	103	11.5	3.7
592	1545	106	11.5	3.8
608	1540	106	11.5	3.8
624	1536	117	11.5	4.2
640	1537	103	11.5	3.7
656	1532	106	11.5	3.8
672	1526	116	11.5	4.2
688	1525	114	11.5	4.1
704	1515	121	11.5	4.4
720	1510	130	11.5	4.7
736	1498	130	11.5	4.7
752	1497	141	11.5	5.1
768	1484	147	11.5	5.3
784	1472	156	11.5	5.6
800	1473	143	11.5	5.1
816	1460	152	11.5	5.5
832	1450	156	11.5	5.6
