# x, um, vm, wm, urms, vrms, urms
0.000000000000000000e+00 3.761842384210647983e-02 3.736179946538551269e-04 3.736179946538551269e-04 1.172478031772538898e-01 8.823266508968729757e-03 8.823266508968729757e-03
1.810906068434498806e-01 2.112005258534049579e-01 5.406792583402440181e-04 5.406792583402440181e-04 1.049706607974551231e-01 1.664789909064302159e-02 1.664789909064302159e-02
3.621812136868796661e-01 3.847826278646738762e-01 7.077405220266065090e-04 7.077405220266065090e-04 1.324731741520861761e-01 3.122838540692083470e-02 3.122838540692083470e-02
5.432718205303295189e-01 5.589011173827689305e-01 9.522964306648696968e-04 9.522964306648696968e-04 1.839950005526058141e-01 4.686154342236151238e-02 4.686154342236151238e-02
7.243624273737794272e-01 7.344978120014407086e-01 1.269712884801113767e-03 1.269712884801113767e-03 2.479058964148684041e-01 6.297063775215801240e-02 6.297063775215801240e-02
9.054530342172092405e-01 9.130537074317611745e-01 1.632753345901506248e-03 1.632753345901506248e-03 3.204352219024355075e-01 7.968229823463919559e-02 7.968229823463919559e-02
1.086543641060659038e+00 1.095068757681592952e+00 1.929735038768284720e-03 1.929735038768284720e-03 3.994415253747670702e-01 9.712936399889660066e-02 9.712936399889660066e-02
1.267634247904088962e+00 1.282355938039945853e+00 2.285380617710274474e-03 2.285380617710274474e-03 4.817075808331308662e-01 1.152740750886144527e-01 1.152740750886144527e-01
1.448724854747538870e+00 1.472019631669806650e+00 2.685652863993626387e-03 2.685652863993626387e-03 5.671366340607002510e-01 1.339656476267760132e-01 1.339656476267760132e-01
1.629815461590988557e+00 1.664017114428851141e+00 3.163405701253362446e-03 3.163405701253362446e-03 6.538539188367678001e-01 1.532531450608452528e-01 1.532531450608452528e-01
1.810906068434418481e+00 1.857377879282589017e+00 3.697571853660668387e-03 3.697571853660668387e-03 7.416791068677039966e-01 1.730189559626519602e-01 1.730189559626519602e-01
1.991996675277868389e+00 2.051592810688633417e+00 4.269563792551137223e-03 4.269563792551137223e-03 8.306463979133698050e-01 1.931957269719609960e-01 1.931957269719609960e-01
2.173087282121318076e+00 2.247391727887090518e+00 4.818924779427532536e-03 4.818924779427532536e-03 9.194627834258959354e-01 2.138854512667297536e-01 2.138854512667297536e-01
2.354177888964748000e+00 2.444808421565769940e+00 5.375475391546888880e-03 5.375475391546888880e-03 1.007253730302747785e+00 2.350668024588112304e-01 2.350668024588112304e-01
2.535268495808197908e+00 2.643219137522141438e+00 6.001564245419088728e-03 6.001564245419088728e-03 1.093678976529004032e+00 2.568159860465057398e-01 2.568159860465057398e-01
2.716359102651647817e+00 2.842435689904025509e+00 6.596668751342049317e-03 6.596668751342049317e-03 1.178135307293748379e+00 2.790785327644570990e-01 2.790785327644570990e-01
2.897449709495077741e+00 3.041704836342045581e+00 7.137628401098273546e-03 7.137628401098273546e-03 1.260287254157341330e+00 3.017934366313002603e-01 3.017934366313002603e-01
3.078540316338527205e+00 3.240605097360020448e+00 7.609279990421742058e-03 7.609279990421742058e-03 1.339710510856255032e+00 3.247781851243053408e-01 3.247781851243053408e-01
3.259630923181977114e+00 3.439403028561718756e+00 8.003965196517642475e-03 8.003965196517642475e-03 1.415635824067356108e+00 3.477813413624281091e-01 3.477813413624281091e-01
3.440721530025407038e+00 3.637719453341529352e+00 8.351202915746125041e-03 8.351202915746125041e-03 1.488860733158443583e+00 3.708974510168167038e-01 3.708974510168167038e-01
3.621812136868856946e+00 3.834902547906292369e+00 8.594978857176116191e-03 8.594978857176116191e-03 1.559251307801400088e+00 3.936197719436565490e-01 3.936197719436565490e-01
3.802902743712286870e+00 4.030174573180783426e+00 8.728223217861506844e-03 8.728223217861506844e-03 1.625309275714616142e+00 4.159372621168389017e-01 4.159372621168389017e-01
3.983993350555736779e+00 4.224244143861707990e+00 8.964124903709966632e-03 8.964124903709966632e-03 1.689599859106939217e+00 4.382808152266717827e-01 4.382808152266717827e-01
4.165083957399186687e+00 4.415806684161355022e+00 9.194163590588600582e-03 9.194163590588600582e-03 1.749486590965955379e+00 4.601557011104430717e-01 4.601557011104430717e-01
4.346174564242616611e+00 4.605326765513646059e+00 9.324610994323261418e-03 9.324610994323261418e-03 1.805922082490561964e+00 4.820416343795717040e-01 4.820416343795717040e-01
4.527265171086066076e+00 4.792814607464126908e+00 9.744533352324620534e-03 9.744533352324620534e-03 1.859096894667730870e+00 5.034719151860415076e-01 5.034719151860415076e-01
4.708355777929516428e+00 4.978098244733923039e+00 1.004107589053678147e-02 1.004107589053678147e-02 1.908417487797519518e+00 5.245272712335105059e-01 5.245272712335105059e-01
4.889446384772945464e+00 5.160734910712454493e+00 1.017418891093276913e-02 1.017418891093276913e-02 1.952646800474914901e+00 5.448408160831903491e-01 5.448408160831903491e-01
5.070536991616395817e+00 5.341032356314951102e+00 1.037111254797565794e-02 1.037111254797565794e-02 1.993637288016726350e+00 5.655324987485111921e-01 5.655324987485111921e-01
5.251627598459845281e+00 5.518757959093321119e+00 1.052718395012774803e-02 1.052718395012774803e-02 2.032264816278749109e+00 5.869548308033126771e-01 5.869548308033126771e-01
5.432718205303275205e+00 5.693105484710072162e+00 1.048499716809683791e-02 1.048499716809683791e-02 2.066987580192648721e+00 6.077231172605810361e-01 6.077231172605810361e-01
5.613808812146725558e+00 5.864213433306534995e+00 1.023204380837774985e-02 1.023204380837774985e-02 2.098151432765648305e+00 6.287695099244728913e-01 6.287695099244728913e-01
5.794899418990155482e+00 6.031740579212357289e+00 9.845463216590081418e-03 9.845463216590081418e-03 2.125930608493949769e+00 6.496658790584486365e-01 6.496658790584486365e-01
5.975990025833604946e+00 6.196229818653619326e+00 9.010329980891884291e-03 9.010329980891884291e-03 2.151778650481629196e+00 6.692805621442768915e-01 6.692805621442768915e-01
6.157080632677054410e+00 6.357426615155583605e+00 7.779141195817100216e-03 7.779141195817100216e-03 2.174727007221651576e+00 6.888230633783144485e-01 6.888230633783144485e-01
6.338171239520484335e+00 6.515242174971274558e+00 6.492672935954188831e-03 6.492672935954188831e-03 2.194179710148526752e+00 7.080221549953392701e-01 7.080221549953392701e-01
6.519261846363934687e+00 6.669400636526380488e+00 5.175228668099243930e-03 5.175228668099243930e-03 2.211484279830435717e+00 7.270867492450363567e-01 7.270867492450363567e-01
6.700352453207384151e+00 6.819987244890492128e+00 3.774244724196172164e-03 3.774244724196172164e-03 2.226732614997750659e+00 7.457169028421181123e-01 7.457169028421181123e-01
6.881443060050814076e+00 6.967117871345713809e+00 2.295472128112376400e-03 2.295472128112376400e-03 2.240192276771971081e+00 7.640458713966366000e-01 7.640458713966366000e-01
7.062533666894264428e+00 7.111575841776934581e+00 7.748072860718612648e-04 7.748072860718612648e-04 2.250014600308974266e+00 7.819103161980422989e-01 7.819103161980422989e-01
7.243624273737713892e+00 7.252490314875536193e+00 -1.206569325226598474e-03 -1.206569325226598474e-03 2.256596353579092273e+00 7.989568200448317059e-01 7.989568200448317059e-01
7.424714880581143817e+00 7.390348620557629644e+00 -3.501162740559792680e-03 -3.501162740559792680e-03 2.260138966698445717e+00 8.155461899182143704e-01 8.155461899182143704e-01
7.605805487424593281e+00 7.525295528337788475e+00 -5.781345007890646703e-03 -5.781345007890646703e-03 2.260596994316611763e+00 8.315562167960910411e-01 8.315562167960910411e-01
7.786896094268023205e+00 7.657600167194164698e+00 -7.849130258333820651e-03 -7.849130258333820651e-03 2.257784950486277697e+00 8.460029271972384635e-01 8.460029271972384635e-01
7.967986701111473558e+00 7.786685153954512550e+00 -1.062678277769454373e-02 -1.062678277769454373e-02 2.253046651699881942e+00 8.582680290647356491e-01 8.582680290647356491e-01
8.149077307954923910e+00 7.913280013473849905e+00 -1.355083080242265418e-02 -1.355083080242265418e-02 2.248443403838030985e+00 8.700128798975087507e-01 8.700128798975087507e-01
8.330167914798352058e+00 8.037124653833743082e+00 -1.655526586319719731e-02 -1.655526586319719731e-02 2.243943268004617853e+00 8.814030816122890855e-01 8.814030816122890855e-01
8.511258521641803299e+00 8.158407816957954140e+00 -1.908928626557182540e-02 -1.908928626557182540e-02 2.239213007587345317e+00 8.925875732556655118e-01 8.925875732556655118e-01
8.692349128485252763e+00 8.278048549822152324e+00 -2.093459120239014176e-02 -2.093459120239014176e-02 2.234077599428339500e+00 9.031057973091246582e-01 9.031057973091246582e-01
8.873439735328682687e+00 8.395203315160024715e+00 -2.231228431172642412e-02 -2.231228431172642412e-02 2.228463150370063151e+00 9.129535121208746107e-01 9.129535121208746107e-01
9.054530342172132151e+00 8.509948372927725657e+00 -2.379012899294207298e-02 -2.379012899294207298e-02 2.222610146876855541e+00 9.211476219167529234e-01 9.211476219167529234e-01
9.235620949015581616e+00 8.623157880397943842e+00 -2.523549009741097096e-02 -2.523549009741097096e-02 2.216307889987685797e+00 9.278630981562545621e-01 9.278630981562545621e-01
9.416711555859011540e+00 8.733181251968407111e+00 -2.640322966031422025e-02 -2.640322966031422025e-02 2.209341941921156849e+00 9.338737101564672516e-01 9.338737101564672516e-01
9.597802162702461004e+00 8.839992002916083891e+00 -2.712589501869274583e-02 -2.712589501869274583e-02 2.200464900570532567e+00 9.394116379393642191e-01 9.394116379393642191e-01
9.778892769545890928e+00 8.942475600674363534e+00 -2.794394663431380710e-02 -2.794394663431380710e-02 2.188782401894285634e+00 9.432381070912335685e-01 9.432381070912335685e-01
